year,less_than_hs,high_school,some_college,bachelors_degree,advanced_degree,men_less_than_hs,men_high_school,men_some_college,men_bachelors_degree,men_advanced_degree,women_less_than_hs,women_high_school,women_some_college,women_bachelors_degree,women_advanced_degree,white_less_than_hs,white_high_school,white_some_college,white_bachelors_degree,white_advanced_degree,black_less_than_hs,black_high_school,black_some_college,black_bachelors_degree,black_advanced_degree,hispanic_less_than_hs,hispanic_high_school,hispanic_some_college,hispanic_bachelors_degree,hispanic_advanced_degree,white_men_less_than_hs,white_men_high_school,white_men_some_college,white_men_bachelors_degree,white_men_advanced_degree,black_men_less_than_hs,black_men_high_school,black_men_some_college,black_men_bachelors_degree,black_men_advanced_degree,hispanic_men_less_than_hs,hispanic_men_high_school,hispanic_men_some_college,hispanic_men_bachelors_degree,hispanic_men_advanced_degree,white_women_less_than_hs,white_women_high_school,white_women_some_college,white_women_bachelors_degree,white_women_advanced_degree,black_women_less_than_hs,black_women_high_school,black_women_some_college,black_women_bachelors_degree,black_women_advanced_degree,hispanic_women_less_than_hs,hispanic_women_high_school,hispanic_women_some_college,hispanic_women_bachelors_degree,hispanic_women_advanced_degree
2022,16.52,21.94,24.81,41.6,53.22,17.99,24.08,27.96,49.01,63.51,14.33,18.93,21.76,34.39,44.34,15.7,23.31,26.28,43.3,53.3,15.19,19.39,21.34,33.39,44.67,17.32,20.72,22.96,36,48.3,17.14,25.92,29.93,51.23,63.86,16.38,20.73,22.58,37.63,52.91,18.67,22.32,25.49,41.48,57.08,13.84,19.56,22.52,35.31,44.45,13.89,17.83,20.36,29.94,39.41,14.74,18.18,20.64,31.13,40.64
2021,16.74,22.28,24.92,41.32,53.45,18.34,24.36,27.96,47.83,63.52,14.36,19.36,21.97,35.08,44.8,16.2,23.6,26.29,43.06,53.62,14.55,19.66,21.26,32.62,43.37,17.6,21.03,23.34,35.26,48.6,18.13,26.03,29.79,50.06,64.04,15.38,20.86,22.63,36.95,49.01,18.98,22.7,25.58,39.61,55.6,13.77,20.08,22.73,36.11,44.82,13.73,18.3,20.18,29.35,40.07,14.97,18.34,21.14,31.25,42.47
2020,17.02,22.7,25.44,41.65,53.74,18.76,25.09,28.55,48.15,62.7,14.4,19.35,22.35,35.41,46.04,17.01,24,26.9,43.16,53.8,14.55,19.66,21.79,33.64,45.76,17.61,21.46,23.24,36.13,48.58,18.97,26.73,30.4,50.15,63.5,15.52,21.22,23.57,36.7,51.67,19.26,23.33,25.69,41,53.58,14.2,20.06,23.31,36.2,45.58,13.66,17.93,20.31,31.38,42.44,14.58,18.5,20.69,31.55,44.15
2019,16.11,21.64,24,39.61,51.57,17.55,23.99,26.99,45.74,59.93,13.96,18.48,21.09,33.8,44.22,15.89,22.94,25.47,41.06,51.81,14.19,18.73,20.44,31.83,42.73,16.71,20.47,22.01,34.66,46.69,17.66,25.58,28.9,47.76,60.84,15.07,20.22,22.02,33.73,46.87,17.93,22.33,24.35,39.56,52.24,13.44,19.22,21.99,34.47,43.83,13.3,17.18,19.17,30.31,40.42,14.5,17.71,19.69,30.18,42.3
2018,15.94,21.5,23.7,38.87,51.03,17.7,23.72,26.61,44.97,59.73,13.36,18.49,20.91,33.03,43.19,16.05,23.02,25.15,40.49,51.8,13.31,18.14,19.98,32,42.22,16.44,20.13,21.74,33.19,44.83,17.96,25.49,28.41,47.28,61.27,14.27,19.36,21.82,33.42,46.42,18.05,22.04,24.2,37.27,51.27,13.45,19.52,21.9,33.78,43.31,12.48,16.81,18.57,30.85,39.64,13.47,17.28,19.29,29.47,39.35
2017,15.92,21.26,23.31,38.65,49.4,17.63,23.47,25.91,44.5,56.77,13.39,18.31,20.83,33.01,42.75,15.96,22.71,24.65,40.07,50.03,13.93,17.94,19.8,31.49,40.68,16.34,19.83,21.59,33.07,43.92,17.82,25.14,27.61,46.44,57.64,15,19.46,21.09,34.41,44.62,17.91,21.68,23.59,36.62,50.58,13.46,19.34,21.72,33.76,43.22,12.99,16.33,18.76,29.19,38.26,13.36,17.02,19.6,29.69,38.43
2016,15.45,21,23.35,38.73,49.64,16.95,23.01,25.98,44.98,57.71,13.11,18.33,20.89,32.66,42.17,15.38,22.37,24.61,39.95,49.85,13.48,17.95,20.28,32.1,41.26,16.02,19.47,21.33,34.28,43.92,16.96,24.73,27.49,46.78,58.13,14.64,19.07,22.15,35.36,45.54,17.37,21.05,23.43,38.94,50.81,12.98,19.21,21.83,33.23,42.24,12.42,16.71,18.88,29.56,38.55,13.4,17.11,19.26,29.41,37.77
2015,15.25,20.81,23.17,37.96,48.42,16.63,22.93,25.99,43.47,56.32,13.09,18.05,20.54,32.54,41.16,15.34,22.12,24.52,39.19,49,13.64,17.62,19.59,32.06,41.13,15.46,19.31,21,33.16,42.02,17.16,24.56,27.64,45.39,57.37,14.55,18.93,21.08,34.19,47.54,16.52,20.92,23.32,36.63,48.49,12.68,18.9,21.49,32.88,41.41,12.79,16.21,18.5,30.42,37.37,13.42,16.99,18.66,29.71,36.37
2014,14.66,20.34,22.48,36.47,47.27,15.95,22.4,24.96,41.14,54.63,12.6,17.72,20.14,31.98,40.34,14.92,21.65,23.7,37.61,47.46,13.43,17.61,19.4,30.82,40.07,14.77,18.43,20.21,31.8,44.35,16.65,24.08,26.5,42.79,55.03,14.28,19.08,20.77,31.67,43.76,15.85,19.7,22.17,35.17,52.55,12.54,18.51,20.99,32.46,40.41,12.47,16.09,18.39,30.2,37.88,12.61,16.55,18.22,28.53,37.16
2013,14.62,20.31,22.5,37,48.54,15.86,22.28,25.07,42.34,56.35,12.62,17.84,20.12,31.79,41.03,14.76,21.54,23.69,38.17,49.14,13.4,17.66,19.38,31.11,41.6,14.83,18.39,20.21,32.14,44.03,16.37,23.84,26.66,43.94,57.4,14.39,18.7,20.78,33.18,46.74,15.8,19.86,21.76,36.3,51.37,12.47,18.62,20.86,32.33,41.24,12.41,16.6,18.32,29.57,38.4,12.8,16.23,18.7,28.2,36.92
